Package,SimilarityScore,Label,NameLength,Version,Author,SummaryLength,ReleaseCount,PackageAgeDays
requests,0,0,8,2.34.2,,23,163,5606
numpy,0,0,5,2.5.0,Travis E. Oliphant et al.,49,148,7142
pandas,0,0,6,3.0.3,,71,115,6022
Django,0,0,6,6.0.6,,96,434,5879
Flask,0,0,5,3.1.3,,57,64,5910
tensorflow,0,0,10,2.21.0,Google Inc.,69,138,3471
torch,0,0,5,2.12.1,,74,48,2753
scipy,0,0,5,1.18.0,,57,107,5808
matplotlib,0,0,10,3.11.0,"John D. Hunter, Michael Droettboom",23,141,7468
pytest,0,0,6,9.1.1,"Brianna Laugher, Bruno Oliveira, Floris Bruynooghe, Freya Bruhin, Holger Krekel, Others (See AUTHORS), Ronny Pfannschmidt",43,192,5687
fastapi,0,0,7,0.138.0,,86,296,2752
seaborn,0,0,7,0.13.2,,30,36,4619
keras,0,0,5,3.14.1,,19,120,3855
opencv-python,0,0,13,4.13.0.92,,43,62,2959
pillow,0,0,6,12.2.0,,29,106,5804
SQLAlchemy,0,0,10,2.0.51,Mike Bayer,28,324,7433
beautifulsoup4,0,0,14,4.15.0,,23,54,4645
streamlit,0,0,9,1.58.0,,41,264,3015
plotly,0,0,6,6.8.0,,64,317,4757
xgboost,0,0,7,3.3.0,,22,95,3958
jupyter,0,0,7,1.1.1,Jupyter Development Team,66,4,3967
notebook,0,0,8,7.6.0,,77,209,3979
pydantic,0,0,8,2.13.4,,39,203,3336
uvicorn,0,0,7,0.49.0,,31,193,3303
transformers,0,0,12,5.12.1,The Hugging Face team (past and future) with the help of all our contributors (https://github.com/huggingface/transformers/graphs/contributors),169,233,3595
nltk,0,0,4,3.9.4,NLTK Team,24,65,6185
spacy,0,0,5,3.8.14,Explosion,63,216,4165
sympy,0,0,5,1.14.0,SymPy development team,39,67,6630
networkx,0,0,8,3.6.1,,64,96,7010
statsmodels,0,0,11,0.14.6,,46,41,5115
lightgbm,0,0,8,4.6.0,,23,37,3284
catboost,0,0,8,1.2.10,CatBoost Developers,23,95,3261
dash,0,0,4,4.3.0,Chris Parmer,71,216,3288
bokeh,0,0,5,3.9.1,Bokeh Team,61,262,4622
Scrapy,0,0,6,2.16.0,,52,112,6035
selenium,0,0,8,4.45.0,,47,230,6631
openpyxl,0,0,8,3.1.5,See AUTHORS,57,96,5793
xlrd,0,0,4,2.0.2,Chris Withers,87,25,7401
pyarrow,0,0,7,24.0.0,,31,63,3384
dask,0,0,4,2026.6.0,,36,234,4162
pyspark,0,0,7,4.1.2,Spark Developers,23,70,3266
joblib,0,0,6,1.5.3,,44,108,6447
tqdm,0,0,4,4.68.3,,31,146,4621
Faker,0,0,5,40.23.0,joke2k,59,485,5659
rich,0,0,4,15.0.0,Will McGugan,95,207,2415
httpx,0,0,5,0.28.1,,32,74,2529
aiohttp,0,0,7,3.14.1,,44,310,4622
cryptography,0,0,12,49.0.0,,99,157,4547
paramiko,0,0,8,5.0.0,,21,151,5717
bcrypt,0,0,6,5.0.0,,58,28,4790
pytest-cov,0,0,10,7.1.0,,37,54,5902
flake8,0,0,6,7.3.0,Tarek Ziade,53,94,5792
black,0,0,5,26.5.1,,34,73,3021
isort,0,0,5,8.0.1,,50,153,4579
mypy,0,0,4,2.1.0,,33,138,6129
gunicorn,0,0,8,26.0.0,,25,98,6013
celery,0,0,6,5.6.3,Ask Solem,23,224,6264
redis,0,0,5,8.0.0,,52,167,5004
pymongo,0,0,7,4.17.0,The MongoDB Python Team,44,170,6359
psycopg2,0,0,8,2.9.12,Federico Di Gregorio,45,65,5764
mysqlclient,0,0,11,2.2.8,,25,44,4437
sqlparse,0,0,8,0.5.5,,28,38,5175
Jinja2,0,0,6,3.1.6,,43,52,6586
Werkzeug,0,0,8,3.1.8,,47,106,6769
click,0,0,5,8.4.1,,41,63,4437
typer,0,0,5,0.26.7,,66,86,2375
Markdown,0,0,8,3.10.2,"Manfred Stienstra, Yuri Takhteyev",48,60,6699
weasyprint,0,0,10,69.0,,28,119,5350
reportlab,0,0,9,5.0.0,"Andy Robinson, Robin Becker, the ReportLab team and the community",21,100,6344
pypdf,0,0,5,6.13.3,,93,109,4418
pdfplumber,0,0,10,0.11.10,Jeremy Singer-Vine,74,76,3955
python-docx,0,0,11,1.2.0,,52,38,4550
python-pptx,0,0,11,1.0.2,,56,51,4894
odfpy,0,0,5,1.4.1,Soren Roug,53,11,4422
lxml,0,0,4,6.1.1,lxml dev team,96,127,6928
xmltodict,0,0,9,1.0.4,Martin Blech,58,38,5046
yfinance,0,0,8,1.4.1,Ran Aroussi,44,146,2583
ccxt,0,0,4,4.5.59,Igor Kroitor,109,1599,3266
ta,0,0,2,0.11.0,Dario Lopez Padial (Bukosabino),36,55,2998
backtrader,0,0,10,1.9.78.123,Daniel Rodriguez,18,5,2579
moviepy,0,0,7,2.2.1,Zulko 2024,25,89,4660
ImageIO,0,0,7,2.37.3,ImageIO contributors,98,99,5089
albumentations,0,0,14,2.0.8,Vladimir Iglovikov,330,87,2914
timm,0,0,4,1.0.27,,20,78,2557
sentence-transformers,0,0,21,5.6.0,,36,79,2523
langchain,0,0,9,1.3.10,,53,504,1336
gradio,0,0,6,6.19.0,,74,668,2679
datasets,0,0,8,5.0.0,HuggingFace Inc.,60,118,3961
evaluate,0,0,8,0.4.6,HuggingFace Inc.,62,14,1482
peft,0,0,4,0.19.1,The HuggingFace team,38,35,1249
accelerate,0,0,10,1.14.0,The Hugging Face team,10,82,2060
faiss-cpu,0,0,9,1.14.3,Meta AI Research,74,28,2531
folium,0,0,6,0.20.0,Rob Story,44,42,4781
geopy,0,0,5,2.4.1,,24,60,7225
wordcloud,0,0,9,1.9.6,,29,23,4111
imbalanced-learn,0,0,16,0.14.2,,50,40,3634
statsforecast,0,0,13,2.0.3,,54,41,1671
prophet,0,0,7,1.3.0,,31,15,2206
requestsx,94,1,9,Unknown,Unknown,0,0,0
equests,93,1,7,Unknown,Unknown,0,0,0
reqquests,94,1,9,Unknown,Unknown,0,0,0
r1quests,88,1,8,Unknown,Unknown,0,0,0
requestsy,94,1,9,Unknown,Unknown,0,0,0
request,93,1,7,Unknown,Unknown,0,0,0
requestss,94,1,9,Unknown,Unknown,0,0,0
0equests,88,1,8,Unknown,Unknown,0,0,0
nump,89,1,4,Unknown,Unknown,0,0,0
nummpy,91,1,6,Unknown,Unknown,0,0,0
umpy,89,1,4,0.1.0,Perdix Software,83,1,3513
numpyx,91,1,6,1.6.0,eduardo moguillansky,46,32,3285
numpyy,91,1,6,Unknown,Unknown,0,0,0
pandasy,92,1,7,Unknown,Unknown,0,0,0
andas,91,1,5,Unknown,Unknown,0,0,0
panda,91,1,5,0.3.1,pandastream.com,51,8,5960
pandass,92,1,7,Unknown,Unknown,0,0,0
panndas,92,1,7,0.0.2,Charles Frye,25,3,1556
pandasx,92,1,7,Unknown,Unknown,0,0,0
djangoy,92,1,7,Unknown,Unknown,0,0,0
djangoo,92,1,7,Unknown,Unknown,0,0,0
jango,91,1,5,Unknown,Unknown,0,0,0
djang,91,1,5,Unknown,Unknown,0,0,0
djangox,92,1,7,0.1.19,Youngrok Pak,154,23,4156
djaango,92,1,7,Unknown,Unknown,0,0,0
flas,89,1,4,Unknown,Unknown,0,0,0
flaskx,91,1,6,0.1,Grey Li,0,1,2222
flaask,91,1,6,Unknown,Unknown,0,0,0
flasky,91,1,6,0.1.0,Park Hyunwoo,28,1,4822
flaskk,91,1,6,Unknown,Unknown,0,0,0
lask,89,1,4,0.3.0,Open Source Lodge,34,9,393
tensorflowlib,87,1,13,Unknown,Unknown,0,0,0
tennsorflow,95,1,11,Unknown,Unknown,0,0,0
ensorflow,95,1,9,Unknown,Unknown,0,0,0
tensorflowx,95,1,11,Unknown,Unknown,0,0,0
tensorflowpkg,87,1,13,Unknown,Unknown,0,0,0
tensorflowy,95,1,11,Unknown,Unknown,0,0,0
tensorflo,95,1,9,Unknown,Unknown,0,0,0
t1nsorflow,90,1,10,Unknown,Unknown,0,0,0
0ensorflow,90,1,10,Unknown,Unknown,0,0,0
